datetime,sea_high,salt,wind_speed,wind_dir,temp,pressure,sea_speed,sea_dir_s,sea_dir_i,sea_temp,can_sail
2025-05-01 0:00,51.9,29.98,5.75,160.8,17.03,1009.71,44.9,서남서,240.0,12.73,0
2025-05-01 0:10,37.8,30.0,5.92,168.9,16.91,1009.85,35.4,서남서,242.0,12.74,0
2025-05-01 0:20,26.6,30.0,4.8,174.7,16.65,1010.11,30.9,남서,232.0,12.76,0
2025-05-01 0:30,19.1,30.0,3.67,172.9,16.02,1010.2,21.1,남서,218.0,12.75,0
2025-05-01 0:40,15.2,30.0,3.17,172.1,16.13,1010.2,12.0,남,191.0,12.75,0
2025-05-01 0:50,15.1,30.0,2.17,193.0,15.85,1010.25,10.8,남동,125.0,12.74,0
2025-05-01 1:00,18.9,30.0,2.79,186.1,15.65,1010.22,16.7,동남동,102.0,12.72,0
2025-05-01 1:10,26.7,30.0,3.09,171.2,15.62,1010.09,25.6,동,90.0,12.72,0
2025-05-01 1:20,39.5,30.0,2.9,156.2,15.84,1009.92,32.9,동북동,75.0,12.7,0
2025-05-01 1:30,56.2,30.0,3.34,158.3,16.36,1009.85,46.0,동북동,72.0,12.72,0
2025-05-01 1:40,76.8,29.98,3.33,146.9,16.45,1009.76,50.4,동북동,72.0,12.7,0
2025-05-01 1:50,100.7,29.9,3.29,150.5,16.44,1009.6,59.5,동북동,69.0,12.53,1
2025-05-01 2:00,127.1,29.91,2.46,141.7,16.48,1009.44,60.7,동북동,70.0,12.5,1
2025-05-01 2:10,156.5,29.9,2.0,133.3,16.19,1009.46,64.3,동북동,67.0,12.51,1
2025-05-01 2:20,187.3,29.99,1.59,124.6,16.04,1009.41,65.1,동북동,67.0,12.49,1
2025-05-01 2:30,222.4,30.02,1.88,145.7,15.92,1009.33,65.1,동북동,67.0,12.49,1
2025-05-01 2:40,260.5,30.11,2.25,144.7,16.18,1009.14,66.2,동북동,62.0,12.47,1
2025-05-01 2:50,296.5,30.16,2.17,137.2,16.24,1009.19,59.3,동북동,61.0,12.28,1
2025-05-01 3:00,332.7,30.1,3.33,146.8,16.28,1009.09,62.3,동북동,59.0,12.31,1
2025-05-01 3:10,368.6,30.14,3.91,162.8,16.59,1009.01,61.8,북동,54.0,12.41,1
