datetime,sea_high,salt,wind_speed,wind_dir,temp,pressure,sea_speed,sea_dir_s,sea_dir_i,sea_temp,can_sail
2025-05-01 0:00,268.6,33.7,0.76,229.1,12.13,1015.79,1.6,동북동,66.0,14.06,1
2025-05-01 0:10,262.7,33.68,0.94,218.3,11.89,1015.8,3.4,동남동,107.0,14.04,1
2025-05-01 0:20,256.7,33.7,0.72,225.9,11.71,1015.69,1.6,동남동,123.0,14.03,1
2025-05-01 0:30,249.6,33.7,0.91,227.8,11.82,1015.6,3.1,동남동,112.0,14.11,1
2025-05-01 0:40,242.1,33.7,0.73,226.8,11.99,1015.47,2.3,동북동,77.0,14.42,1
2025-05-01 0:50,235.1,33.68,0.43,189.9,11.98,1015.34,0.9,동,101.0,14.42,1
2025-05-01 1:00,228.0,33.69,0.95,230.9,11.97,1015.3,0.9,동,101.0,14.42,1
2025-05-01 1:10,218.9,33.66,1.2,227.0,11.96,1015.3,2.9,동남동,114.0,13.89,1
2025-05-01 1:20,209.4,33.67,1.07,227.6,11.99,1015.16,1.9,북북동,20.0,13.91,1
2025-05-01 1:30,200.7,33.6,0.72,233.1,12.19,1014.94,1.5,북,353.0,13.9,1
2025-05-01 1:40,191.5,33.6,0.19,154.7,12.48,1014.84,2.7,북서,315.0,14.18,1
2025-05-01 1:50,184.7,33.6,0.42,209.7,12.67,1014.8,8.2,서북서,291.0,14.12,1
2025-05-01 2:00,175.6,33.6,0.67,230.6,12.44,1014.71,10.3,서북서,286.0,14.16,1
2025-05-01 2:10,166.8,33.6,0.64,224.6,12.3,1014.63,10.6,서북서,285.0,14.24,1
2025-05-01 2:20,157.3,33.6,0.98,229.0,12.09,1014.65,14.1,서북서,287.0,14.18,1
2025-05-01 2:30,146.7,33.6,0.59,230.5,11.94,1014.56,14.7,서북서,291.0,14.12,1
2025-05-01 2:40,138.1,33.6,1.22,223.6,11.88,1014.56,15.3,서,279.0,14.02,1
2025-05-01 2:50,129.4,33.6,0.88,225.4,11.78,1014.47,15.3,서,279.0,14.02,1
2025-05-01 3:00,119.7,33.6,1.19,229.7,11.84,1014.31,11.4,서,271.0,14.1,1
2025-05-01 3:10,110.2,33.6,1.03,225.2,11.94,1014.26,11.3,서,268.0,14.0,1
2025-05-01 3:20,100.9,33.6,0.34,176.7,11.9,1014.26,11.5,서,275.0,14.0,1
2025-05-01 3:30,92.6,33.6,0.8,217.4,12.01,1014.11,14.4,서,278.0,14.04,1
2025-05-01 3:40,86.4,33.6,0.62,218.0,11.94,1014.16,13.1,서북서,288.0,13.93,1
2025-05-01 3:50,81.9,33.6,0.51,205.4,12.09,1014.21,13.1,서북서,287.0,13.99,1
2025-05-01 4:00,76.9,33.6,0.87,218.8,12.07,1014.2,12.7,서북서,301.0,13.76,0
2025-05-01 4:10,74.7,33.6,1.24,226.8,12.14,1014.2,17.9,북서,307.0,13.76,0
2025-05-01 4:20,71.8,33.6,0.84,230.0,12.44,1014.17,14.3,북서,306.0,13.74,0
2025-05-01 4:30,68.5,33.6,0.81,212.9,12.62,1014.03,12.6,북서,319.0,13.73,0
2025-05-01 4:40,68.8,33.6,0.89,221.3,12.77,1014.1,14.6,북서,313.0,13.73,0
2025-05-01 4:50,68.4,33.6,0.5,214.5,12.77,1014.1,16.6,서북서,302.0,13.73,0
2025-05-01 5:00,69.0,33.6,1.19,223.5,12.76,1014.1,14.7,북서,315.0,13.74,0
2025-05-01 5:10,68.2,33.6,0.76,206.7,13.02,1014.05,16.8,북서,315.0,13.74,0
2025-05-01 5:20,68.6,33.6,0.71,221.7,13.08,1014.0,18.0,북서,315.0,13.74,0
2025-05-01 5:30,71.7,33.6,0.26,91.2,13.03,1014.0,15.8,북서,319.0,13.74,0
2025-05-01 5:40,75.0,33.6,0.47,71.0,13.2,1014.0,16.5,북서,325.0,13.73,0
2025-05-01 5:50,79.9,33.6,1.03,150.9,13.57,1013.9,13.0,북서,313.0,13.73,0
2025-05-01 6:00,82.9,33.6,0.57,162.8,13.5,1013.9,8.6,북서,323.0,13.7,1
2025-05-01 6:10,87.8,33.6,0.38,195.4,13.29,1013.9,14.1,북서,326.0,13.7,1
2025-05-01 6:20,93.3,33.6,0.36,175.0,13.23,1013.86,9.5,북북서,333.0,13.72,1
2025-05-01 6:30,97.4,33.6,0.32,76.5,13.44,1013.77,13.6,북서,307.0,13.74,1
2025-05-01 6:40,102.7,33.6,1.12,75.2,13.68,1013.78,11.4,북서,310.0,13.72,1
2025-05-01 6:50,107.9,33.6,0.79,69.8,13.66,1013.73,11.5,북서,308.0,13.84,1
2025-05-01 7:00,115.0,33.6,0.17,40.2,13.81,1013.6,9.2,서북서,293.0,13.83,1
2025-05-01 7:10,119.8,33.6,0.06,89.2,14.23,1013.6,8.8,북서,306.0,13.8,1
2025-05-01 7:20,126.0,33.6,0.57,58.6,14.43,1013.48,4.8,북서,319.0,13.74,1
2025-05-01 7:30,132.4,33.6,0.84,73.1,15.11,1013.37,3.0,북북서,345.0,13.71,1
2025-05-01 7:40,139.4,33.6,1.5,86.2,15.82,1013.3,1.9,북서,321.0,13.72,1
2025-05-01 7:50,146.3,33.6,1.34,86.6,16.22,1013.23,4.5,서북서,302.0,13.71,1
2025-05-01 8:00,152.8,33.6,1.58,107.8,16.39,1013.1,1.4,북동,38.0,13.74,1
2025-05-01 8:10,158.0,33.6,1.75,102.4,16.68,1012.93,1.0,북동,44.0,13.77,1
2025-05-01 8:20,161.9,33.6,2.87,126.2,17.1,1012.74,2.8,동북동,67.0,13.76,1
2025-05-01 8:30,166.3,33.6,2.88,131.0,17.67,1012.53,3.5,동북동,60.0,13.75,1
2025-05-01 8:40,171.4,33.6,2.83,130.7,17.73,1012.4,3.0,북북동,17.0,13.8,1
2025-05-01 8:50,176.4,33.6,2.48,127.8,17.8,1012.39,2.9,북북서,344.0,13.84,1
