datetime,sea_high,salt,wind_speed,wind_dir,temp,pressure,sea_speed,sea_dir_s,sea_dir_i,sea_temp,can_sail
2025-05-01 0:00,7.5,33.95,1.47,48.3,14.67,1012.64,11.2,358.5,남남동,13.105,0
2025-05-01 0:10,6.8,33.95,0.99,131.3,14.52,1012.7,10.45,3.0,남남동,13.11,0
2025-05-01 0:20,5.8,33.94,0.81,196.7,15.38,1012.67,12.45,5.5,남남동,13.085,0
2025-05-01 0:30,6.5,33.96,1.41,249.4,14.59,1012.56,11.15,10.0,남남동,13.075,0
2025-05-01 0:40,7.6,33.93,1.44,206.3,14.61,1012.41,11.45,1.5,남남동,13.055,0
2025-05-01 0:50,7.5,33.95,0.8,213.6,15.22,1012.31,11.6,7.5,남남동,13.045,0
2025-05-01 1:00,7.2,33.93,2.14,191.9,16.34,1012.15,11.35,15.0,남,13.035,0
2025-05-01 1:10,7.2,33.92,4.21,164.4,15.46,1012.1,9.7,15.0,남,13.025,0
2025-05-01 1:20,7.2,33.9,3.75,161.2,15.41,1012.03,14.3,15.0,남,13.0,0
2025-05-01 1:30,8.6,33.9,2.87,167.6,15.28,1011.81,13.15,10.5,남,12.995,0
2025-05-01 1:40,8.0,33.92,2.74,192.4,15.38,1011.68,13.4,14.5,남,12.98,0
2025-05-01 1:50,8.1,33.9,5.01,205.3,16.62,1011.5,11.8,15.0,남,12.98,0
2025-05-01 2:00,9.4,33.91,4.01,207.7,16.37,1011.5,11.45,14.5,남,12.975,0
2025-05-01 2:10,9.9,33.92,3.62,204.3,16.51,1011.5,11.45,26.0,남,12.965,0
2025-05-01 2:20,9.6,33.95,3.43,197.5,15.94,1011.5,11.95,15.0,남,12.985,0
2025-05-01 2:30,10.5,33.94,4.45,200.7,16.33,1011.33,9.95,13.5,남,12.96,0
2025-05-01 2:40,12.5,33.99,4.91,204.5,16.27,1011.18,11.1,7.0,남,12.95,0
2025-05-01 2:50,12.3,33.99,5.46,211.3,15.75,1011.05,9.6,5.5,남,12.93,0
2025-05-01 3:00,13.1,34.0,5.26,213.8,15.38,1011.19,10.2,10.5,남,12.92,0
2025-05-01 3:10,14.3,34.0,4.69,207.0,15.21,1011.29,10.6,5.0,남,12.89,0
2025-05-01 3:20,13.7,33.99,4.27,210.5,14.88,1011.39,10.85,6.0,남,12.87,0
2025-05-01 3:30,15.3,34.0,5.02,206.2,15.07,1011.26,12.3,13.0,남,12.855,0
2025-05-01 3:40,15.6,34.0,5.97,206.2,15.21,1011.1,11.15,19.0,남,12.86,0
2025-05-01 3:50,16.3,34.0,6.17,206.5,15.52,1011.01,10.7,19.0,남,12.83,0
2025-05-01 4:00,17.9,34.0,5.97,215.5,15.41,1010.93,10.65,27.0,남,12.83,0
2025-05-01 4:10,18.5,34.0,6.68,211.3,15.63,1010.91,11.15,19.0,남,12.82,0
2025-05-01 4:20,17.8,34.0,7.24,214.1,15.51,1010.83,12.6,14.0,남,12.795,0
2025-05-01 4:30,19.7,34.0,6.8,215.1,15.65,1011.0,11.7,18.5,남,12.755,0
2025-05-01 4:40,21.0,34.0,6.75,215.4,15.82,1010.99,11.85,17.5,남,12.765,0
2025-05-01 4:50,20.8,34.0,6.78,215.1,15.88,1010.99,9.35,25.5,남,12.75,0
2025-05-01 5:00,20.9,34.0,6.62,217.9,16.16,1011.0,9.55,23.5,남,12.755,0
2025-05-01 5:10,21.0,34.0,5.96,217.0,16.06,1011.01,8.2,11.5,남,12.74,0
2025-05-01 5:20,22.7,34.0,5.61,217.7,16.15,1011.02,5.9,25.0,남,12.725,0
2025-05-01 5:30,23.5,34.0,5.7,215.8,16.31,1011.0,8.25,24.0,남남서,12.73,0
2025-05-01 5:40,22.8,34.0,5.94,217.2,16.63,1011.0,6.55,27.5,남남서,12.745,0
2025-05-01 5:50,23.6,34.0,5.9,217.4,16.69,1011.0,5.6,41.5,서남서,12.73,0
2025-05-01 6:00,24.0,34.0,5.96,216.8,16.72,1011.0,4.25,199.0,북북서,12.735,0
2025-05-01 6:10,25.3,34.0,5.5,218.3,16.72,1011.0,2.6,22.0,북북서,12.745,0
2025-05-01 6:20,22.5,34.0,4.89,208.1,16.69,1011.0,3.95,354.5,북북서,12.74,0
2025-05-01 6:30,24.7,34.0,3.85,186.6,16.0,1011.0,5.1,27.0,북북서,12.745,0
2025-05-01 6:40,24.8,34.0,3.6,192.3,15.85,1011.0,3.05,183.0,북북서,12.745,0
2025-05-01 6:50,26.3,34.0,4.38,203.2,15.95,1011.0,4.65,5.5,북북서,12.74,0
2025-05-01 7:00,27.0,34.0,5.71,207.2,16.68,1011.0,4.9,21.5,북북서,12.76,0
2025-05-01 7:10,26.0,34.0,4.14,203.9,16.56,1011.0,3.1,30.5,북북서,12.765,0
2025-05-01 7:20,27.1,34.0,3.52,198.4,16.37,1011.05,5.0,5.5,북북서,12.765,0
2025-05-01 7:30,27.0,34.0,5.3,172.3,15.83,1011.07,5.95,201.0,북북서,12.76,0
2025-05-01 7:40,27.2,34.0,6.3,165.4,15.45,1010.99,5.75,352.5,북북서,12.76,0
2025-05-01 7:50,27.2,34.0,6.16,164.1,15.5,1010.71,4.95,354.5,북,12.75,0
2025-05-01 8:00,27.7,34.0,7.39,167.8,15.49,1010.46,9.35,173.5,북,12.72,0
2025-05-01 8:10,28.5,34.0,8.49,167.5,15.52,1010.32,11.0,348.0,북,12.7,0
2025-05-01 8:20,28.3,34.0,7.95,165.3,15.62,1010.3,6.7,168.0,북,12.675,0
2025-05-01 8:30,28.1,34.0,7.94,165.3,15.8,1010.14,8.95,174.5,북,12.665,0
2025-05-01 8:40,28.9,34.0,7.33,161.1,16.0,1010.09,8.95,347.5,북,12.66,0
2025-05-01 8:50,28.3,34.0,6.29,147.1,16.17,1010.0,10.3,344.0,북,12.645,0
2025-05-01 9:00,28.1,34.0,5.62,136.2,16.14,1009.73,10.85,345.5,북,12.645,0
2025-05-01 9:10,28.0,34.0,5.82,147.1,16.01,1009.45,12.0,354.5,북,12.64,0
2025-05-01 9:20,28.3,34.0,5.73,147.8,15.8,1009.25,13.75,351.0,북,12.63,0
2025-05-01 9:30,27.6,34.0,6.12,155.0,15.27,1009.21,10.6,344.5,북,12.64,0
2025-05-01 9:40,27.5,34.0,6.67,157.3,15.2,1009.14,13.25,177.0,북,12.655,0
2025-05-01 9:50,28.5,34.0,5.8,155.7,15.34,1009.08,10.75,344.5,북,12.66,0
2025-05-01 10:00,28.1,34.0,7.51,168.2,15.76,1008.89,13.35,339.5,북,12.68,0
2025-05-01 10:10,27.8,34.0,9.33,173.4,16.68,1008.67,10.15,340.5,북북동,12.68,0
2025-05-01 10:20,28.1,34.0,9.34,173.1,16.59,1008.56,10.1,333.5,북북동,12.7,0
2025-05-01 10:30,28.8,34.0,9.25,171.5,16.14,1008.47,12.35,333.5,북북동,12.72,0
2025-05-01 10:40,28.5,34.0,8.18,168.5,15.72,1008.39,15.0,332.0,북북동,12.73,0
2025-05-01 10:50,29.1,34.0,8.09,162.1,15.54,1008.08,16.45,338.5,북동,12.74,0
2025-05-01 11:00,27.7,34.0,7.92,163.4,15.42,1008.01,16.55,336.0,북동,12.735,0
2025-05-01 11:10,28.0,34.0,8.25,155.7,15.68,1007.7,17.25,337.5,북동,12.755,0
2025-05-01 11:20,29.9,34.0,8.02,155.9,15.67,1007.45,15.8,330.5,동남동,12.75,0
2025-05-01 11:30,30.1,34.0,7.68,156.5,15.43,1007.41,17.25,332.5,동남동,12.77,0
2025-05-01 11:40,28.6,34.0,7.41,156.1,15.39,1007.11,18.8,333.5,남남동,12.765,0
2025-05-01 11:50,28.3,34.0,6.35,170.5,15.19,1007.12,18.35,339.0,남남동,12.775,0
2025-05-01 12:00,30.3,34.0,5.71,157.4,15.13,1006.83,25.2,335.5,남남동,12.78,0
2025-05-01 12:10,29.3,34.0,5.16,147.2,15.75,1006.64,22.05,337.0,남남동,12.77,0
2025-05-01 12:20,29.6,34.0,8.9,156.6,15.8,1006.26,25.0,336.5,남,12.795,0
2025-05-01 12:30,30.2,34.0,9.39,156.9,15.44,1006.2,24.65,331.0,남남동,12.81,0
2025-05-01 12:40,31.7,34.0,9.9,157.5,15.28,1006.2,26.1,336.0,남,12.795,0
2025-05-01 12:50,30.9,34.0,9.32,157.9,15.24,1006.15,22.65,333.5,남남동,12.8,0
2025-05-01 13:00,31.8,34.0,8.7,159.2,15.33,1006.2,26.5,338.5,남남동,12.83,0
