datetime,sea_high,salt,wind_speed,wind_dir,temp,pressure,sea_speed,sea_dir_i,sea_temp,can_sail
2024-06-01 0:00,21.1,33.8,0.51,175.5,17.49,1008.18,3.75,193.0,17.575,0
2024-06-01 0:10,23.0,33.8,1.22,216.7,17.56,1007.95,4.95,11.0,17.5,0
2024-06-01 0:20,21.6,33.8,0.6,204.6,17.64,1007.98,4.9,27.5,17.555,0
2024-06-01 0:30,21.0,33.8,1.44,155.4,17.64,1007.8,9.4,37.5,17.785,0
2024-06-01 0:40,21.1,33.8,1.13,139.8,18.22,1007.76,7.8,24.5,17.88,0
2024-06-01 0:50,21.3,33.8,0.76,303.9,17.98,1007.8,9.25,15.0,17.815,0
2024-06-01 1:00,20.9,33.8,0.56,252.9,18.11,1007.79,7.7,22.0,17.69,0
2024-06-01 1:10,19.0,33.8,0.6,232.1,18.31,1007.67,2.75,341.5,17.585,0
2024-06-01 1:20,19.6,33.8,0.88,87.7,18.32,1007.57,3.75,323.0,17.58,0
2024-06-01 1:30,18.1,33.8,0.79,131.7,18.34,1007.71,4.4,327.0,17.57,0
2024-06-01 1:40,17.9,33.8,1.5,207.1,18.35,1007.8,2.65,343.0,17.515,0
2024-06-01 1:50,17.9,33.8,1.25,316.9,18.01,1007.81,2.95,325.0,17.415,0
2024-06-01 2:00,16.6,33.8,0.98,281.2,17.88,1007.84,4.05,310.5,17.385,0
2024-06-01 2:10,13.8,33.8,1.43,256.9,17.53,1007.87,6.85,310.5,17.345,0
2024-06-01 2:20,17.2,33.8,0.61,50.4,17.81,1007.72,7.6,289.5,17.38,0
2024-06-01 2:30,15.6,33.8,0.82,223.7,17.83,1007.77,8.5,271.5,17.22,0
2024-06-01 2:40,15.5,33.8,0.74,238.6,17.47,1007.78,12.45,273.5,17.07,0
2024-06-01 2:50,14.6,33.8,0.45,271.0,17.81,1007.8,10.35,258.5,16.955,0
2024-06-01 3:00,14.1,33.8,0.86,301.2,18.13,1007.91,7.35,258.0,16.85,0
2024-06-01 3:10,13.0,33.8,1.21,287.3,18.01,1007.81,3.65,294.5,16.815,0
