datetime,sea_high,salt,wind_speed,wind_dir,temp,pressure,sea_speed,sea_dir_s,sea_dir_i,sea_temp,can_sail
2024-06-01 0:00,167.0,32.2,7.07,267.3,21.11,1009.29,9.2,북서,326.0,19.76,1
2024-06-01 0:10,174.3,32.2,7.04,270.6,21.0,1009.23,8.0,북북서,337.0,19.73,1
2024-06-01 0:20,180.7,32.2,5.74,268.0,20.73,1009.3,13.4,북,359.0,19.73,1
2024-06-01 0:30,184.1,32.2,5.04,260.1,20.6,1009.47,8.4,북,349.0,19.82,1
2024-06-01 0:40,183.6,32.2,5.48,257.0,20.57,1009.4,15.3,북,351.0,19.84,1
2024-06-01 0:50,189.8,32.2,5.05,260.0,20.51,1009.46,13.3,북,357.0,19.7,1
2024-06-01 1:00,194.7,32.2,4.36,273.6,20.48,1009.49,13.6,북,7.0,19.71,1
2024-06-01 1:10,205.5,32.2,5.04,264.7,20.36,1009.4,16.6,북북동,31.0,19.68,1
2024-06-01 1:20,210.8,32.2,4.16,271.6,20.32,1009.57,13.7,북,11.0,19.64,1
2024-06-01 1:30,217.7,32.2,3.86,270.8,20.28,1009.64,14.5,북북동,30.0,19.6,1
2024-06-01 1:40,220.6,32.2,4.36,273.6,20.21,1009.76,20.1,북북동,21.0,19.42,1
2024-06-01 1:50,228.7,32.2,3.3,270.4,20.26,1009.83,17.5,북북동,17.0,19.52,1
2024-06-01 2:00,235.5,32.2,3.34,266.3,20.16,1009.91,9.3,북,1.0,19.66,1
2024-06-01 2:10,242.7,32.2,2.18,263.7,20.08,1009.9,9.3,북,1.0,19.66,1
2024-06-01 2:20,246.7,32.2,2.69,264.5,20.09,1009.96,9.0,북북동,22.0,19.47,1
2024-06-01 2:30,250.8,32.2,3.2,288.2,20.21,1010.0,16.1,북북동,14.0,19.25,1
2024-06-01 2:40,257.1,32.2,2.79,281.3,20.23,1009.78,11.2,북동,46.0,19.37,1
2024-06-01 2:50,256.6,32.2,1.99,292.1,20.23,1009.72,8.1,북,360.0,19.46,1
2024-06-01 3:00,262.3,32.2,2.0,279.5,20.27,1009.57,6.0,북북동,16.0,19.5,1
2024-06-01 3:10,260.1,32.2,2.4,288.6,20.29,1009.62,2.8,동,90.0,19.56,1
2024-06-01 3:20,272.0,32.2,1.72,293.9,20.39,1009.73,3.3,남동,134.0,19.58,1
2024-06-01 3:30,271.0,32.2,1.2,283.4,20.27,1009.61,3.6,서북서,299.0,19.47,1
2024-06-01 3:40,281.5,32.2,1.23,291.6,20.25,1009.54,1.2,남남서,207.0,19.43,1
2024-06-01 3:50,278.6,32.2,1.97,228.9,19.95,1009.5,2.1,동남동,120.0,19.48,1
2024-06-01 4:00,278.8,32.2,1.94,208.2,19.8,1009.5,4.1,동남동,122.0,19.47,1
2024-06-01 4:10,278.2,32.2,2.09,238.7,19.61,1009.48,8.2,남남동,157.0,19.46,1
2024-06-01 4:20,276.5,32.2,2.23,271.3,19.56,1009.57,9.0,남동,146.0,19.47,1
2024-06-01 4:30,277.3,32.2,2.57,222.1,19.52,1009.5,6.2,남,179.0,19.48,1
2024-06-01 4:40,273.5,32.2,3.16,251.5,19.6,1009.65,13.7,남남동,167.0,19.49,1
2024-06-01 4:50,274.3,32.22,2.85,267.0,19.65,1009.79,16.4,남남동,168.0,19.55,1
2024-06-01 5:00,272.7,32.28,1.6,285.2,19.75,1009.85,16.9,남,179.0,19.59,1
2024-06-01 5:10,270.3,32.3,1.62,284.3,19.62,1009.84,16.3,남,177.0,19.62,1
2024-06-01 5:20,274.0,32.3,2.13,265.3,19.53,1009.69,15.1,남,185.0,19.63,1
2024-06-01 5:30,268.5,32.3,2.65,275.2,19.31,1009.74,16.1,남,169.0,19.63,1
2024-06-01 5:40,265.3,32.3,2.45,270.4,19.38,1009.8,15.9,남,180.0,19.6,1
2024-06-01 5:50,258.0,32.3,3.0,276.4,19.49,1009.89,12.0,남,182.0,19.58,1
2024-06-01 6:00,252.0,32.3,2.65,270.3,19.5,1009.85,12.6,남,183.0,19.58,1
2024-06-01 6:10,246.4,32.29,2.11,285.4,19.41,1009.9,19.3,남,186.0,19.61,1
2024-06-01 6:20,239.8,32.28,2.79,295.5,19.56,1009.94,17.7,남,187.0,19.63,1
2024-06-01 6:30,237.5,32.3,2.26,287.9,19.58,1010.0,16.7,남,187.0,19.62,1
2024-06-01 6:40,228.6,32.3,3.2,285.0,19.67,1010.02,16.7,남,191.0,19.64,1
2024-06-01 6:50,223.1,32.3,3.58,271.2,19.57,1009.99,20.0,서북서,284.0,19.66,1
2024-06-01 7:00,217.3,32.23,4.19,268.7,19.43,1010.21,23.4,남,181.0,19.66,1
2024-06-01 7:10,210.8,32.2,4.1,280.4,19.47,1010.16,24.5,남,184.0,19.66,1
2024-06-01 7:20,204.1,32.24,4.72,274.5,19.35,1010.17,29.2,남,185.0,19.67,1
2024-06-01 7:30,196.6,32.28,3.36,273.9,19.36,1010.25,24.6,남,182.0,19.69,1
2024-06-01 7:40,189.4,32.24,3.7,292.0,19.46,1010.18,24.0,남,187.0,19.7,1
2024-06-01 7:50,180.9,32.21,4.54,298.0,19.72,1010.23,24.7,남,182.0,19.69,1
2024-06-01 8:00,172.8,32.2,3.84,302.9,19.83,1010.1,28.8,남,177.0,19.67,1
2024-06-01 8:10,167.4,32.23,3.72,289.5,20.05,1010.06,12.2,남,182.0,19.63,1
2024-06-01 8:20,159.5,32.29,4.3,290.4,20.16,1010.09,24.0,남,173.0,19.63,1
2024-06-01 8:30,152.1,32.28,4.42,288.0,20.26,1010.11,27.4,남,177.0,19.65,1
2024-06-01 8:40,145.7,32.3,5.47,271.4,20.2,1010.02,25.3,남,182.0,19.66,1
2024-06-01 8:50,138.3,32.28,5.89,274.6,20.24,1010.03,27.7,남,179.0,19.6,1
2024-06-01 9:00,136.8,32.3,5.74,279.5,20.46,1010.09,23.9,남,176.0,19.56,1
2024-06-01 9:10,129.3,32.3,4.78,280.4,20.62,1010.12,23.8,남,175.0,19.53,1
2024-06-01 9:20,128.2,32.3,2.6,287.0,20.95,1010.1,26.5,남,182.0,19.57,1
2024-06-01 9:30,120.5,32.27,3.83,274.4,21.1,1010.04,29.6,남,181.0,19.68,1
2024-06-01 9:40,115.4,32.3,4.13,266.8,20.93,1010.1,22.4,남,173.0,19.64,1
2024-06-01 9:50,112.9,32.3,4.58,268.9,21.15,1010.09,28.6,남,180.0,19.67,1
2024-06-01 10:00,109.0,32.26,3.72,295.4,21.4,1010.12,27.3,남,187.0,19.78,1
2024-06-01 10:10,109.8,32.29,3.87,309.9,21.26,1010.16,28.4,남,181.0,19.86,1
2024-06-01 10:20,108.2,32.3,3.72,304.8,21.72,1010.08,27.1,남,181.0,19.91,1
2024-06-01 10:30,106.1,32.3,4.95,282.1,21.61,1009.78,23.3,남,178.0,19.91,1
2024-06-01 10:40,106.0,32.3,3.68,293.2,21.7,1009.77,22.8,남,182.0,19.92,1
2024-06-01 10:50,106.1,32.3,3.67,303.5,21.87,1009.83,25.9,남,180.0,19.9,1
2024-06-01 11:00,109.7,32.3,3.35,301.7,22.09,1009.88,26.6,남,178.0,19.89,1
2024-06-01 11:10,109.1,32.3,3.49,294.2,22.23,1009.83,24.9,남,177.0,19.99,1
2024-06-01 11:20,110.2,32.3,3.83,299.8,22.49,1009.65,28.7,남,184.0,20.01,1
2024-06-01 11:30,113.2,32.3,5.88,293.8,22.42,1009.48,26.0,남,179.0,20.0,1
