datetime,sea_high,wind_speed,wind_dir,temp,pressure,sea_speed,sea_dir_s,sea_dir_i,sea_temp,can_sail
2025-04-01 0:00,-15.5,2.36,198.3,6.8,1024.0,12.6,남서,222.0,6.1,0
2025-04-01 0:10,-12.5,2.45,186.8,6.84,1023.98,7.5,남서,224.0,6.11,0
2025-04-01 0:20,-6.7,2.1,191.4,6.73,1023.9,9.5,남서,236.0,6.12,0
2025-04-01 0:30,1.3,2.39,190.1,6.68,1023.87,14.9,서남서,255.0,6.12,0
2025-04-01 0:40,12.9,2.03,199.8,6.78,1023.74,8.2,서북서,300.0,6.11,0
2025-04-01 0:50,27.2,2.12,187.1,6.7,1023.7,2.5,북,349.0,6.12,0
2025-04-01 1:00,43.6,2.05,182.3,6.51,1023.79,16.0,북북동,19.0,6.12,0
2025-04-01 1:10,62.0,2.04,183.0,6.35,1023.79,12.7,북동,39.0,6.14,0
2025-04-01 1:20,83.8,2.44,182.7,6.4,1023.77,15.8,북동,39.0,6.12,1
2025-04-01 1:30,109.1,3.24,177.9,6.5,1023.62,10.9,북북동,32.0,6.11,1
2025-04-01 1:40,137.6,2.98,181.0,6.46,1023.63,18.5,북북동,23.0,6.06,1
2025-04-01 1:50,166.4,3.19,182.3,6.34,1023.7,33.7,북북동,31.0,6.01,1
2025-04-01 2:00,196.3,3.1,180.7,6.23,1023.78,61.0,북동,49.0,5.93,1
2025-04-01 2:10,227.9,3.25,183.7,6.13,1023.64,46.7,북북동,32.0,6.06,1
2025-04-01 2:20,261.6,3.45,182.6,6.24,1023.51,69.2,북동,34.0,6.03,1
2025-04-01 2:30,296.5,3.48,180.2,6.21,1023.47,82.5,북동,41.0,5.92,0
2025-04-01 2:40,331.9,2.99,182.0,6.18,1023.49,106.4,북동,41.0,5.83,0
2025-04-01 2:50,366.0,3.41,176.7,6.14,1023.35,118.7,북동,43.0,5.61,0
2025-04-01 3:00,400.9,3.35,178.6,5.93,1023.3,112.1,북동,45.0,5.42,0
2025-04-01 3:10,435.6,3.49,174.8,5.9,1023.2,129.5,북동,50.0,5.2,0
2025-04-01 3:20,469.9,3.48,177.2,5.93,1023.2,89.4,북동,49.0,5.16,0
2025-04-01 3:30,502.1,3.14,178.8,5.85,1023.2,96.7,북동,51.0,5.15,0
2025-04-01 3:40,533.0,3.33,178.7,5.79,1023.2,73.5,북동,55.0,5.27,0
2025-04-01 3:50,563.7,3.31,177.9,5.73,1023.11,70.0,북동,54.0,5.19,1
2025-04-01 4:00,592.1,3.26,175.2,5.78,1023.1,63.4,북동,49.0,5.21,1
2025-04-01 4:10,616.3,3.5,174.9,5.79,1023.1,51.5,북동,47.0,5.17,1
2025-04-01 4:20,642.0,3.45,178.6,5.72,1023.09,45.1,북동,54.0,5.2,1
2025-04-01 4:30,665.1,3.4,173.6,5.56,1023.1,35.2,동북동,57.0,5.19,1
2025-04-01 4:40,684.7,3.35,174.6,5.48,1023.1,38.8,동북동,66.0,5.21,1
2025-04-01 4:50,701.6,3.37,180.9,5.48,1023.13,33.5,동북동,70.0,5.24,1
2025-04-01 5:00,718.7,3.04,179.7,5.5,1023.19,23.6,동북동,70.0,5.25,1
