datetime,sea_high,salt,wind_speed,wind_dir,temp,pressure,sea_speed,sea_dir_s,sea_dir_i,sea_temp,can_sail
2024-06-01 0:00,141.0,33.2,1.04,225.3,18.24,1009.7,3.6,북,3.0,18.49,1
2024-06-01 0:10,146.7,33.2,1.08,226.9,18.07,1009.6,4.2,북북서,344.0,18.65,1
2024-06-01 0:20,150.6,33.2,0.79,232.5,18.09,1009.35,1.7,북동,54.0,18.49,1
2024-06-01 0:30,156.4,33.2,0.82,230.6,18.0,1009.35,0.5,서남서,241.0,18.56,1
2024-06-01 0:40,158.9,33.2,0.9,229.1,18.0,1009.38,0.4,남서,219.0,18.55,1
2024-06-01 0:50,163.6,33.2,0.89,233.6,17.94,1009.4,1.6,북동,53.0,18.65,1
2024-06-01 1:00,170.4,33.2,0.68,198.1,17.85,1009.36,4.8,서북서,283.0,19.06,1
2024-06-01 1:10,176.5,33.2,0.64,218.7,17.85,1009.35,2.6,서,277.0,19.15,1
2024-06-01 1:20,179.1,33.2,0.57,198.0,17.8,1009.41,4.2,서북서,285.0,18.84,1
2024-06-01 1:30,179.9,33.2,0.87,217.1,17.72,1009.45,0.2,동남동,108.0,18.95,1
2024-06-01 1:40,184.9,33.2,0.57,228.3,17.7,1009.55,0.9,서,274.0,19.1,1
2024-06-01 1:50,189.1,33.2,0.76,206.6,17.47,1009.62,2.4,북북동,15.0,19.3,1
2024-06-01 2:00,194.6,33.2,0.57,231.3,17.56,1009.7,3.0,서,273.0,19.32,1
2024-06-01 2:10,197.5,33.2,0.69,246.1,17.67,1009.7,6.8,서,266.0,19.49,1
2024-06-01 2:20,203.5,33.2,0.95,249.1,18.31,1009.78,3.0,북서,319.0,19.48,1
2024-06-01 2:30,207.2,33.2,0.77,255.6,19.13,1009.78,1.1,북서,318.0,19.28,1
2024-06-01 2:40,214.0,33.2,0.92,258.4,19.53,1009.63,3.8,북서,309.0,19.15,1
2024-06-01 2:50,214.9,33.2,1.2,253.0,19.39,1009.7,0.7,서북서,297.0,18.73,1
2024-06-01 3:00,219.8,33.2,0.85,258.8,19.54,1009.61,2.8,동남동,108.0,18.48,1
2024-06-01 3:10,219.6,33.2,0.84,238.3,19.42,1009.57,2.5,남동,145.0,19.26,1
2024-06-01 3:20,220.0,33.2,0.34,162.3,19.18,1009.53,1.8,남동,125.0,19.02,1
2024-06-01 3:30,219.8,33.2,0.05,54.8,19.38,1009.58,2.5,남,169.0,18.98,1
