datetime,sea_high,salt,wind_speed,wind_dir,temp,pressure,sea_speed,sea_dir_i,sea_dir_s,sea_temp,can_sail
2025-04-01 0:00,-9.4,34,0.37,215.4,5.14,1024.07,11.7,19.5,µ¿³²µ¿,12.875,0
2025-04-01 0:10,-9.4,34,0.41,209.6,5.24,1024.02,7.05,181,³²µ¿,12.87,0
2025-04-01 0:20,-6.5,34,0.53,298,5.14,1023.85,5.75,13.5,³²³²µ¿,12.88,0
2025-04-01 0:30,-6.2,34,0.5,262.5,5.23,1023.8,5.4,191.5,³²µ¿,12.855,0
2025-04-01 0:40,-6.4,34,0.68,263.2,5.52,1023.79,8.6,15.5,³²³²µ¿,12.845,0
2025-04-01 0:50,-6.3,34,0.4,246.3,5.23,1023.73,9.05,8,³²³²µ¿,12.83,0
2025-04-01 1:00,-8.8,34,1.41,260.5,4.74,1023.63,7.7,171,³²³²µ¿,12.81,0
2025-04-01 1:10,-6.1,34,1.53,268.3,4.47,1023.51,4.5,178,³²³²µ¿,12.805,0
2025-04-01 1:20,-3.5,34,1.31,259.8,4.67,1023.5,9.5,180.5,³²³²µ¿,12.81,0
2025-04-01 1:30,-4.2,34,0.22,207.9,5.34,1023.5,6.1,178,³²³²µ¿,12.81,0
2025-04-01 1:40,-4.7,34,0.76,272.8,4.94,1023.4,9.05,20.5,³²³²µ¿,12.795,0
2025-04-01 1:50,-1.3,34,0.66,116.8,5.12,1023.26,5,21,³²³²µ¿,12.795,0
2025-04-01 2:00,-2.9,34,0.44,234.9,5.25,1023.2,5.45,172.5,³²³²µ¿,12.8,0
2025-04-01 2:10,-0.9,34,0.47,132.8,4.8,1023.2,5.55,24.5,³²³²µ¿,12.795,0
2025-04-01 2:20,-0.9,34,0.33,201.8,4.65,1023.08,9.3,10,³²³²µ¿,12.8,0
2025-04-01 2:30,0.9,34,0.52,249.2,4.35,1023.07,9.6,353.5,³²³²µ¿,12.82,0
2025-04-01 2:40,-1.6,34,0.92,260.5,4.16,1023.17,3.95,190.5,³²,12.81,0
2025-04-01 2:50,1.8,34,1.75,268.9,3.44,1023.2,9.1,192.5,³²,12.84,0
2025-04-01 3:00,2.7,34,0.86,289.9,4.1,1023.18,4.15,174,³²,12.84,0
2025-04-01 3:10,0.6,34,1.14,306.8,4.29,1022.95,4.15,26.5,³²,12.82,0
2025-04-01 3:20,4,34,0.47,301.3,4.09,1022.9,6.35,20.5,³²,12.85,0
2025-04-01 3:30,4.2,34,0.92,309.3,4.13,1022.84,8.95,15,³²,12.845,0
2025-04-01 3:40,5.1,34,0.83,282.5,4.29,1022.8,6.35,24,³²,12.85,0
